domain|Subject Alternative Name|Certificate SerialNumber
"*.acesso-descobr-login.co.ua"|""|""
"*.acesso-pj-brasil.shop"|""|""
"*.adelanepedrozoleiloes.com.br"|""|""
"*.americanas-online.com"|""|""
"*.americanas-trade.com"|""|""
"*.ark.apis.santander.com.admin-mcas-df.ms"|""|""
"*.ark.apis.santander.com.admin-mcas.ms"|""|""
"*.ark.apis.santander.com.mcas-df.ms"|""|""
"*.ark.apis.santander.com.mcas.ms"|""|""
"*.asada.interdigital75.com"|""|""
"*.assicredit.it"|""|""
"*.assicredito.it"|""|""
"*.atendimento-bia-sejaprime.online"|""|""
"*.atendimento-suporte.com"|""|""
"*.atualizacao-cadastral2023.pro"|""|""
"*.azevedoleiloes.com.br"|""|""
"*.ba.saulobastosleiloes.com.br"|""|""
"*.balboleiloes.com.br"|""|""
"*.bancointer.com.br"|""|""
"*.bat.saulobastosleiloes.com.br"|""|""
"*.be-a-port-crty-emprestimos-pessoais-ok.live"|""|""
"*.biblioprointernational.com"|""|""
"*.blog.office.saulobastosleiloes.com.br"|""|""
"*.blog.painel.saulobastosleiloes.com.br"|""|""
"*.blog.saulobastosleiloes.com.br"|""|""
"*.bmg-chess.direct.quickconnect.to"|""|""
"*.bmg-partner.pl"|""|""
"*.botteghe-laboratorio-artigianatovolterra.it"|""|""
"*.brunoleiloes.com.br"|""|""
"*.cartao-do.com"|""|""
"*.cartao-gratis.site"|""|""
"*.casadoleilao.com"|""|""
"*.cashback-immobilier.fr"|""|""
"*.cashback-online.de"|""|""
"*.classificadodeleiloes.com.br"|""|""
"*.clinica-aurea.com"|""|""
"*.clinica-dental-en-malaga.com"|""|""
"*.clinica-medicala-westclinique.ro"|""|""
"*.clinica-odontologica-implante-dentario-br-bt.click"|""|""
"*.clinica-real.com"|""|""
"*.clinica-urosalud.es"|""|""
"*.coronavirus-refunds.com"|""|""
"*.coronavirus-testing-center.com"|""|""
"*.creditos-colombia.com"|""|""
"*.dallas-computer-repair-virus-removal.com"|""|""
"*.dental-seguros.vercel.app"|""|""
"*.dev.sicredi.cloud"|""|""
"*.digitalinterio.in"|""|""
"*.digitalpanti.com"|""|""
"*.dlrleiloes.com.br"|""|""
"*.e-leiloes.com.br"|""|""
"*.eckertleiloes.com"|""|""
"*.emilia-mercado.pages.dev"|""|""
"*.fortalezaleiloes.com"|""|""
"*.frazaoleiloes.com.br.admin-mcas-df.ms"|""|""
"*.frazaoleiloes.com.br.admin-mcas.ms"|""|""
"*.frazaoleiloes.com.br.mcas-df.ms"|""|""
"*.frazaoleiloes.com.br.mcas.ms"|""|""
"*.freitaisleilao.com"|""|""
"*.futurepro-interiors.com"|""|""
"*.giftcard-apollo.com"|""|""
"*.gralhaazulleiloes.com.br"|""|""
"*.guariglaileilao.com"|""|""
"*.guillaume.pasteur.topbee.ch"|""|""
"*.ib.safra.com.br.admin-eu.cas.ms"|""|""
"*.ib.safra.com.br.admin-eu2.cas.ms"|""|""
"*.ib.safra.com.br.admin-mcas.ms"|""|""
"*.ib.safra.com.br.admin-us.cas.ms"|""|""
"*.ib.safra.com.br.admin-us2.cas.ms"|""|""
"*.ib.safra.com.br.admin-us3.cas.ms"|""|""
"*.ib.safra.com.br.eu.cas.ms"|""|""
"*.ib.safra.com.br.eu2.cas.ms"|""|""
"*.ib.safra.com.br.mcas.ms"|""|""
"*.ib.safra.com.br.us.cas.ms"|""|""
"*.ib.safra.com.br.us2.cas.ms"|""|""
"*.ib.safra.com.br.us3.cas.ms"|""|""
"*.info-coronavirus.be.admin-mcas-df.ms"|""|""
"*.info-coronavirus.be.admin-mcas.ms"|""|""
"*.info-coronavirus.be.mcas-df.ms"|""|""
"*.info-coronavirus.be.mcas.ms"|""|""
"*.inprointernational.com"|""|""
"*.internegocios.com.mx"|""|""
"*.interpixle.repl.co"|""|""
"*.interprofits.com"|""|""
"*.interprolog.com"|""|""
"*.interprom.co.uk"|""|""
"*.interseguro.co"|""|""
"*.jaringandigitalinternet.com"|""|""
"*.kdigitalpanama.online"|""|""
"*.laboratorio-gentile.it"|""|""
"*.leiloes.rs"|""|""
"*.leiloesfederal.com.br"|""|""
"*.leiloesfinancas.com"|""|""
"*.leiloesinvestimentos.com.br"|""|""
"*.lucianleiloes.com.br"|""|""
"*.magalu-feirao.com"|""|""
"*.mail.hsbc.fr.admin-mcas-df.ms"|""|""
"*.mail.hsbc.fr.admin-mcas.ms"|""|""
"*.mail.hsbc.fr.mcas-df.ms"|""|""
"*.mail.hsbc.fr.mcas.ms"|""|""
"*.mastersplintertoken.com"|""|""
"*.mesquitaleilao.com"|""|""
"*.mesquitaleiloes.net"|""|""
"*.michellileiloes.com.br"|""|""
"*.mtfleilaorural.com.br"|""|""
"*.mvleiloes.com.br"|""|""
"*.myabintercard.com"|""|""
"*.negociosinternacionales.com"|""|""
"*.nib-banese-sergipe.ml"|""|""
