"0.0xo.lat","domain|ip"
"142.251.132.3","ip-dst"
"193.117.208.148","ip-dst"
"2c1a08cbb43f1ddd3bd6d3ba10c3272a79c3dbb6","sha1"
"2ca06e5fefea1834a8449cac18f856bdee394fedb8baebbc2e490f1e54b46ef3","sha256"
"7309ae709c50e41ae67fbfd96abcbf91d7a3b6341a8cae8b51b983cf64e94b09","sha256"
"742af1224952b098f38d3995c3e7ffde","md5"
"a16c3e4711c591850a5fcc3f3ae8c4ea","md5"
"df54768371722578e17eba0f0dde0e637c49f03a","sha1"
"http://edgedl.me.gvt1.com/edgedl/release2/update2/iqmnfy5ub2wrt6itb67uu4wcci_1.3.36.372/GoogleUpdateSetup.exe","url"
"https://clients2.google.com/service/check2?crx3=true&appid=%7B430FD4D0-B729-4F61-AA34-91526481799D%7D&appversion=1.3.36.212&applang=&machine=1&version=1.3.36.212&userid=%7B44E0B715-C263-4CD3-9F8A-F4C33B762F12%7D&osversion=6.1&servicepack=Service%20Pack%201","url"
"https://update.googleapis.com/service/update2?cup2key=13:7G7ihrcyKj5PEmUHbKrqVzdbAgvHwEqNeMML2xPvsms&cup2hreq=2f852f7906222409d36915ee099c8a474ac0a2726811b5c5011ce495d780f47d","url"
"742af1224952b098f38d3995c3e7ffde","filename|md5"
"2c1a08cbb43f1ddd3bd6d3ba10c3272a79c3dbb6","filename|sha1"
"2ca06e5fefea1834a8449cac18f856bdee394fedb8baebbc2e490f1e54b46ef3","filename|sha256"
"a16c3e4711c591850a5fcc3f3ae8c4ea","filename|md5"
"df54768371722578e17eba0f0dde0e637c49f03a","filename|sha1"
"7309ae709c50e41ae67fbfd96abcbf91d7a3b6341a8cae8b51b983cf64e94b09","filename|sha256"
